epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,895.724,0.99178,0.64545,0.15698,0.78899,0.30763,0.32216,0.18037,0.68946,0.51447,0.08679,0.00333257,0.00333257,0.00333257
2,1756.31,1.0075,0.42657,0.11424,0.72248,0.32985,0.33803,0.17536,0.75437,0.49343,0.09251,0.00653392,0.00653392,0.00653392
3,2605.33,1.14471,0.38605,0.13388,0.72972,0.33331,0.37424,0.20937,0.77446,0.47791,0.096,0.00960327,0.00960327,0.00960327
4,3448.1,1.17035,0.37979,0.14037,0.66114,0.33284,0.349,0.18643,0.87568,0.44658,0.10216,0.009406,0.009406,0.009406
5,4291.31,1.12846,0.38919,0.13154,0.60298,0.36413,0.39067,0.20705,0.76711,0.47917,0.09193,0.009208,0.009208,0.009208
6,5133.91,1.10807,0.39332,0.1278,0.65924,0.3761,0.40007,0.2139,0.74801,0.47866,0.09127,0.00901,0.00901,0.00901
7,5978,1.11184,0.39034,0.12761,0.66951,0.39528,0.41885,0.22476,0.71706,0.49274,0.08913,0.008812,0.008812,0.008812
8,6823.01,1.10635,0.39016,0.12741,0.65883,0.4021,0.42411,0.22735,0.70598,0.49584,0.08913,0.008614,0.008614,0.008614
9,7665.57,1.10226,0.39492,0.12898,0.6607,0.40385,0.42746,0.2311,0.70956,0.50065,0.08964,0.008416,0.008416,0.008416
10,8509.94,1.08081,0.39852,0.12456,0.67512,0.41346,0.43723,0.23666,0.7044,0.49579,0.08865,0.008218,0.008218,0.008218
11,9354.31,1.09814,0.39462,0.12893,0.67437,0.41498,0.43918,0.23909,0.70247,0.49554,0.08808,0.00802,0.00802,0.00802
12,10199.9,1.08849,0.39824,0.12663,0.6739,0.42339,0.44506,0.24432,0.68972,0.50103,0.08704,0.007822,0.007822,0.007822
13,11044.4,1.06402,0.40506,0.12106,0.67294,0.42688,0.44943,0.24668,0.68483,0.501,0.08611,0.007624,0.007624,0.007624
14,11891.4,1.06173,0.40461,0.12089,0.67385,0.43178,0.45326,0.24907,0.68446,0.4999,0.08555,0.007426,0.007426,0.007426
