epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.902,1.53187,1.57686,1.05941,0.4689,0.25547,0.25216,0.13722,1.44024,1.0329,1.00278,0.00333029,0.00333029,0.00333029
2,537.574,1.46355,1.10698,1.02912,0.4919,0.27288,0.26798,0.14092,1.47492,1.01825,1.01518,0.00653168,0.00653168,0.00653168
3,800.628,1.47291,1.04401,1.03509,0.37871,0.28334,0.26613,0.13688,1.45225,0.98181,1.01374,0.00960107,0.00960107,0.00960107
4,1062.01,1.45653,0.98835,1.03296,0.44185,0.3053,0.30895,0.16307,1.41612,0.91084,1.00245,0.009406,0.009406,0.009406
5,1323.21,1.41812,0.93715,1.01982,0.55458,0.33572,0.33868,0.18143,1.3616,0.8504,0.98826,0.009208,0.009208,0.009208
6,1585,1.39905,0.91152,1.01211,0.57995,0.35427,0.36562,0.19657,1.34474,0.81479,0.9775,0.00901,0.00901,0.00901
7,1844.92,1.38383,0.89113,1.00583,0.60801,0.36459,0.38244,0.20684,1.32435,0.79498,0.97331,0.008812,0.008812,0.008812
8,2106.81,1.37597,0.8802,1.00218,0.60328,0.37445,0.39102,0.21288,1.31693,0.78154,0.96774,0.008614,0.008614,0.008614
9,2368.88,1.36485,0.86793,0.99833,0.61527,0.37752,0.40144,0.21897,1.30647,0.76963,0.96459,0.008416,0.008416,0.008416
10,2629.82,1.35863,0.86067,0.99601,0.6309,0.37407,0.40515,0.22192,1.29926,0.76036,0.96111,0.008218,0.008218,0.008218
11,2890.99,1.35326,0.85518,0.99413,0.63011,0.38521,0.41155,0.22623,1.2958,0.75465,0.96017,0.00802,0.00802,0.00802
12,3151.02,1.34917,0.84865,0.99198,0.63852,0.38262,0.41486,0.22888,1.29158,0.74924,0.9588,0.007822,0.007822,0.007822
13,3412.47,1.34427,0.84246,0.9898,0.63847,0.3865,0.41876,0.23099,1.28825,0.74538,0.95727,0.007624,0.007624,0.007624
14,3675.06,1.34076,0.83861,0.98926,0.64867,0.38567,0.42155,0.23271,1.28555,0.74172,0.95646,0.007426,0.007426,0.007426
15,3935.25,1.33542,0.83321,0.98722,0.64333,0.38801,0.42326,0.23398,1.28395,0.7394,0.95569,0.007228,0.007228,0.007228
16,4197.69,1.33475,0.83133,0.98632,0.64048,0.3901,0.42496,0.235,1.282,0.7373,0.95477,0.00703,0.00703,0.00703
17,4459.19,1.32998,0.82671,0.98476,0.64913,0.38967,0.42661,0.2361,1.28058,0.73537,0.95424,0.006832,0.006832,0.006832
18,4720.59,1.32661,0.82261,0.98347,0.64762,0.3919,0.42838,0.23689,1.27944,0.73407,0.95357,0.006634,0.006634,0.006634
19,4982.87,1.32547,0.82176,0.98219,0.64994,0.39329,0.42932,0.23721,1.27855,0.73282,0.95311,0.006436,0.006436,0.006436
20,5245.53,1.3223,0.81749,0.98069,0.65443,0.39303,0.4306,0.2378,1.27765,0.73155,0.95255,0.006238,0.006238,0.006238
21,5506.89,1.32062,0.81457,0.98108,0.65359,0.39503,0.43142,0.23856,1.27685,0.73065,0.95219,0.00604,0.00604,0.00604
22,5768.58,1.31868,0.8135,0.98051,0.65008,0.3973,0.43297,0.23936,1.2759,0.72956,0.95176,0.005842,0.005842,0.005842
23,6030.35,1.31612,0.80953,0.97869,0.65188,0.39798,0.43402,0.23991,1.27511,0.72857,0.95133,0.005644,0.005644,0.005644
24,6291.63,1.31589,0.80753,0.97818,0.65338,0.39789,0.43516,0.24075,1.2743,0.72753,0.95087,0.005446,0.005446,0.005446
25,6553.33,1.31092,0.80386,0.97714,0.64813,0.39984,0.43561,0.24141,1.27337,0.72654,0.95041,0.005248,0.005248,0.005248
26,6814.53,1.30766,0.79995,0.97677,0.64987,0.39983,0.43643,0.24193,1.27251,0.72551,0.95004,0.00505,0.00505,0.00505
27,7076.9,1.30713,0.80007,0.97554,0.65296,0.40019,0.43783,0.24273,1.27189,0.7245,0.94966,0.004852,0.004852,0.004852
28,7338.33,1.30463,0.79686,0.97383,0.65325,0.40145,0.43896,0.24328,1.2711,0.72344,0.94921,0.004654,0.004654,0.004654
29,7599.56,1.30134,0.79259,0.97256,0.65163,0.40296,0.44019,0.2438,1.27037,0.72259,0.94873,0.004456,0.004456,0.004456
30,7861.18,1.29763,0.79155,0.97253,0.65656,0.40236,0.44107,0.24481,1.26962,0.72188,0.94831,0.004258,0.004258,0.004258
31,8122.51,1.29776,0.78961,0.97207,0.65754,0.40202,0.44162,0.24521,1.26893,0.72092,0.9479,0.00406,0.00406,0.00406
32,8384.99,1.29513,0.78696,0.97069,0.66154,0.40012,0.44218,0.24603,1.26825,0.72016,0.94748,0.003862,0.003862,0.003862
33,8646.6,1.29219,0.78348,0.9696,0.66579,0.39915,0.44271,0.24679,1.2674,0.71928,0.94696,0.003664,0.003664,0.003664
34,8908.6,1.28973,0.77967,0.96801,0.66016,0.40303,0.44398,0.24728,1.2665,0.71841,0.94637,0.003466,0.003466,0.003466
35,9170.01,1.28928,0.77961,0.96886,0.66635,0.40158,0.44434,0.24787,1.26553,0.71756,0.94592,0.003268,0.003268,0.003268
36,9430.63,1.28531,0.7749,0.96771,0.66465,0.40286,0.44545,0.24838,1.26479,0.71678,0.94551,0.00307,0.00307,0.00307
37,9692,1.28473,0.7748,0.96707,0.66391,0.40338,0.4458,0.24865,1.26398,0.71607,0.9451,0.002872,0.002872,0.002872
38,9953.52,1.28215,0.77044,0.96619,0.66356,0.40464,0.44642,0.24911,1.26316,0.71551,0.94474,0.002674,0.002674,0.002674
39,10214.1,1.28076,0.76904,0.96516,0.66495,0.40533,0.44714,0.24956,1.26246,0.71483,0.94431,0.002476,0.002476,0.002476
40,10475.3,1.2781,0.76538,0.96442,0.66767,0.40418,0.44726,0.2501,1.26177,0.71427,0.94404,0.002278,0.002278,0.002278
41,10731.2,1.31193,0.76641,0.96794,0.66739,0.40526,0.44741,0.25037,1.26108,0.71395,0.94372,0.00208,0.00208,0.00208
42,10983.3,1.30734,0.76067,0.9665,0.67045,0.40409,0.44844,0.25074,1.26053,0.71385,0.94336,0.001882,0.001882,0.001882
43,11234.7,1.30293,0.75611,0.96433,0.66931,0.4047,0.44906,0.25111,1.25986,0.71364,0.94289,0.001684,0.001684,0.001684
44,11486.1,1.30029,0.75129,0.96288,0.66785,0.40539,0.4489,0.25119,1.25936,0.71343,0.9426,0.001486,0.001486,0.001486
45,11738,1.29685,0.74748,0.96293,0.66386,0.40578,0.44878,0.25146,1.25877,0.71348,0.9424,0.001288,0.001288,0.001288
46,11986.2,1.29346,0.74299,0.96092,0.66821,0.4059,0.44932,0.25164,1.25828,0.71331,0.9421,0.00109,0.00109,0.00109
47,12238.5,1.28963,0.73855,0.96003,0.6703,0.40474,0.44962,0.25164,1.25781,0.71316,0.94183,0.000892,0.000892,0.000892
48,12490.9,1.285,0.73348,0.95763,0.66837,0.4065,0.45061,0.25194,1.25748,0.7129,0.94147,0.000694,0.000694,0.000694
49,12742.9,1.2819,0.7287,0.95737,0.66863,0.40665,0.45044,0.25244,1.25718,0.71269,0.94126,0.000496,0.000496,0.000496
50,12993.8,1.27891,0.72544,0.95581,0.66682,0.40776,0.45072,0.25252,1.25686,0.71227,0.94092,0.000298,0.000298,0.000298
