epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,494.422,1.51726,1.53853,1.086,0.47198,0.26329,0.25555,0.14115,1.42928,1.07096,1.04202,0.00333029,0.00333029,0.00333029
2,989.695,1.45759,1.07263,1.06243,0.53782,0.27904,0.27812,0.14632,1.45363,1.07274,1.05991,0.00653168,0.00653168,0.00653168
3,1480.71,1.4717,1.01964,1.07491,0.4117,0.27036,0.26537,0.13701,1.46983,0.99929,1.08535,0.00960107,0.00960107,0.00960107
4,1971.27,1.45727,0.96728,1.0748,0.42883,0.31829,0.31711,0.1672,1.39935,0.88312,1.05202,0.009406,0.009406,0.009406
5,2463.42,1.41821,0.91543,1.0614,0.55715,0.32598,0.33538,0.18147,1.36517,0.83713,1.04051,0.009208,0.009208,0.009208
6,2957.83,1.39888,0.89092,1.05415,0.49467,0.34713,0.3665,0.19984,1.33968,0.79751,1.02714,0.00901,0.00901,0.00901
7,3459.91,1.38433,0.87046,1.04799,0.5067,0.35715,0.38096,0.2091,1.32423,0.77415,1.02172,0.008812,0.008812,0.008812
8,3953.76,1.3759,0.85939,1.04444,0.61676,0.36658,0.38913,0.214,1.31575,0.762,1.01875,0.008614,0.008614,0.008614
9,4459.01,1.36548,0.84666,1.04138,0.62333,0.37099,0.39725,0.21963,1.30671,0.75183,1.01564,0.008416,0.008416,0.008416
10,4957.73,1.36045,0.8405,1.03969,0.63475,0.37352,0.40227,0.22238,1.29988,0.74139,1.01236,0.008218,0.008218,0.008218
11,5470.18,1.35471,0.83375,1.03627,0.63557,0.38054,0.41175,0.22722,1.29551,0.73451,1.01065,0.00802,0.00802,0.00802
12,5961.8,1.35033,0.82683,1.03336,0.64661,0.3822,0.41415,0.22852,1.29192,0.73027,1.00822,0.007822,0.007822,0.007822
13,6453.09,1.34649,0.82244,1.0325,0.64081,0.38482,0.41597,0.2303,1.28893,0.72664,1.00761,0.007624,0.007624,0.007624
14,6943.51,1.34305,0.8193,1.03209,0.63709,0.38684,0.41747,0.232,1.28683,0.72338,1.00697,0.007426,0.007426,0.007426
15,7433.91,1.33841,0.8147,1.03044,0.64523,0.38763,0.4196,0.2332,1.28533,0.72152,1.00639,0.007228,0.007228,0.007228
16,7924.8,1.33681,0.81087,1.02795,0.64407,0.38866,0.42153,0.23429,1.2838,0.71961,1.00535,0.00703,0.00703,0.00703
17,8415.39,1.33267,0.80692,1.02614,0.64333,0.39125,0.42291,0.23535,1.28287,0.71809,1.00484,0.006832,0.006832,0.006832
18,8906.76,1.3291,0.8025,1.02531,0.6538,0.38904,0.42445,0.23595,1.28191,0.71694,1.00426,0.006634,0.006634,0.006634
19,9397.72,1.32738,0.80132,1.02331,0.6539,0.38901,0.42544,0.23661,1.28101,0.71585,1.00377,0.006436,0.006436,0.006436
20,9895.92,1.32499,0.79819,1.02159,0.65001,0.39159,0.42696,0.23735,1.28028,0.71477,1.00334,0.006238,0.006238,0.006238
21,10387.5,1.32325,0.79448,1.02159,0.64895,0.39348,0.42747,0.23766,1.27965,0.71394,1.00289,0.00604,0.00604,0.00604
22,10889.2,1.32146,0.7932,1.02168,0.65784,0.39027,0.42844,0.2383,1.27899,0.71303,1.00243,0.005842,0.005842,0.005842
23,11384.8,1.32009,0.79002,1.02106,0.66316,0.38933,0.42923,0.23878,1.27821,0.71204,1.00212,0.005644,0.005644,0.005644
24,11875.6,1.31901,0.78778,1.01915,0.66589,0.39003,0.43056,0.23941,1.27745,0.71103,1.00159,0.005446,0.005446,0.005446
25,12366.3,1.31364,0.78351,1.01763,0.66458,0.39132,0.43119,0.23984,1.27668,0.70997,1.00114,0.005248,0.005248,0.005248
26,12909.1,1.31021,0.78016,1.0169,0.66506,0.39246,0.43251,0.24031,1.2759,0.7091,1.00063,0.00505,0.00505,0.00505
27,13405.2,1.30978,0.77993,1.01613,0.66502,0.39412,0.43328,0.24098,1.2749,0.70813,1.00013,0.004852,0.004852,0.004852
28,13896.5,1.30703,0.7768,1.01306,0.67118,0.39294,0.43406,0.24163,1.27419,0.70734,0.99957,0.004654,0.004654,0.004654
29,14388.2,1.30436,0.77248,1.01193,0.67188,0.39276,0.43477,0.24207,1.27338,0.70636,0.99902,0.004456,0.004456,0.004456
30,14881.9,1.30067,0.77108,1.01343,0.67019,0.39368,0.43538,0.24246,1.2725,0.70554,0.99854,0.004258,0.004258,0.004258
31,15376.1,1.30129,0.76963,1.01287,0.67179,0.39449,0.4359,0.243,1.27165,0.70466,0.99817,0.00406,0.00406,0.00406
32,15868.2,1.29822,0.76701,1.01136,0.67332,0.39482,0.4371,0.24385,1.27081,0.70382,0.99768,0.003862,0.003862,0.003862
33,16358.1,1.2964,0.7637,1.00937,0.67233,0.39512,0.43757,0.24437,1.26996,0.70303,0.99718,0.003664,0.003664,0.003664
34,16849.1,1.29371,0.7604,1.00644,0.67545,0.39411,0.43831,0.24468,1.26912,0.70222,0.99656,0.003466,0.003466,0.003466
35,17338.7,1.29213,0.75857,1.00722,0.67786,0.39337,0.43918,0.24529,1.26831,0.70145,0.99594,0.003268,0.003268,0.003268
36,17830.1,1.28829,0.75497,1.00665,0.67927,0.39357,0.43989,0.24577,1.2674,0.70087,0.99537,0.00307,0.00307,0.00307
37,18320.3,1.28792,0.75437,1.00641,0.67927,0.39511,0.44063,0.24608,1.26655,0.70008,0.99492,0.002872,0.002872,0.002872
38,18810.4,1.28488,0.75071,1.00439,0.68033,0.39644,0.44123,0.24653,1.26571,0.69948,0.9944,0.002674,0.002674,0.002674
39,19300.2,1.28446,0.74855,1.00441,0.6766,0.39802,0.44149,0.24697,1.26479,0.69897,0.99388,0.002476,0.002476,0.002476
40,19789.7,1.2816,0.74439,1.00424,0.67865,0.39888,0.44281,0.24713,1.26395,0.69862,0.99355,0.002278,0.002278,0.002278
41,20269.5,1.31666,0.74643,1.00911,0.67991,0.39745,0.44317,0.24756,1.26321,0.69843,0.9931,0.00208,0.00208,0.00208
42,20747.7,1.31092,0.74086,1.00755,0.67687,0.3971,0.44355,0.2477,1.2625,0.69832,0.99273,0.001882,0.001882,0.001882
43,21223.6,1.30697,0.73599,1.00745,0.67667,0.39742,0.44387,0.24796,1.26176,0.69831,0.99246,0.001684,0.001684,0.001684
44,21700.5,1.30281,0.73146,1.0018,0.67679,0.39837,0.44408,0.24814,1.26121,0.69821,0.99199,0.001486,0.001486,0.001486
45,22179.4,1.30005,0.72699,1.0034,0.67184,0.39971,0.44449,0.24847,1.26063,0.69816,0.99174,0.001288,0.001288,0.001288
46,22656.6,1.29683,0.72312,1.00001,0.66962,0.40122,0.44499,0.24895,1.26006,0.69792,0.99127,0.00109,0.00109,0.00109
47,23134.3,1.29219,0.7186,0.99909,0.67253,0.40054,0.44509,0.24909,1.2594,0.69786,0.99077,0.000892,0.000892,0.000892
48,23611.9,1.28762,0.71373,0.99768,0.67186,0.40159,0.44546,0.2492,1.25879,0.69761,0.99032,0.000694,0.000694,0.000694
49,24089.7,1.28427,0.70832,0.99487,0.67229,0.40241,0.44611,0.2494,1.25838,0.69724,0.98983,0.000496,0.000496,0.000496
50,24567.5,1.28136,0.70464,0.99518,0.67131,0.40191,0.44641,0.24979,1.25797,0.6968,0.98948,0.000298,0.000298,0.000298
